event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
KGZ481,08/07/2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),Farmers (Kyrgyzstan),Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Jalal-Abad,Suzak,,Turk-Abad,40.86,73.0014,1,Sanjar Kalmatai,New media,"On 8 July 2020, 20-30 residents and farmers of Turk-Abad village in Suzak district of Jalal-Abad region protested against unfair distribution of agricultural land in the district demanding the local authorities intervene in their dispute with the landowner and allow farmers raise crops without sublease.",0,crowd size=20-30,1719274846
TJK172,14/06/2024,2024,2,Strategic developments,Strategic developments,Arrests,Police Forces of Tajikistan (1994-),,State forces,Civilians (Tajikistan),Former Government of Tajikistan (1994-),Civilians,State forces-Civilians,,762,Caucasus and Central Asia,Tajikistan,Dushanbe,Firdavsi,,Dushanbe,38.56,68.7739,1,RFE/RL,International,"Around 14 June 2024 (as reported), the former chairman of the Democratic Party of Tajikistan and a member of parliament, Saidjafar Usmonzoda, was placed under arrest in Dushanbe at the request of the prosecutor's office. The General Prosecutor's Office accuses Usmonzoda of collaborating with the leaders of the National Alliance of Tajikistan, banned in Tajikistan, and was accused of trying to seize power.",0,,1719939640
TJK173,28/06/2024,2024,2,Strategic developments,Strategic developments,Arrests,Police Forces of Tajikistan (1994-),,State forces,Civilians (Tajikistan),Journalists (Tajikistan),Civilians,State forces-Civilians,,762,Caucasus and Central Asia,Tajikistan,Dushanbe,Firdavsi,,Dushanbe,38.56,68.7739,1,RFE/RL,International,"Around 28 June 2024 (as reported), a journalist and first deputy chairman of the Democratic Party of Tajikistan, was detained in Dushanbe. Members of his family are unavailable for comment, and law enforcement agencies also do not officially comment on the situation.",0,,1719939640
TJK174,20/05/2024,2024,2,Strategic developments,Strategic developments,Arrests,Police Forces of Tajikistan (1994-),,State forces,Civilians (Tajikistan),Jamaat Ansarullah,Civilians,State forces-Civilians,,762,Caucasus and Central Asia,Tajikistan,Gorno-Badakhshan Autonomous,Vanc,,Dashti Yazgulom,38.2609,71.5586,1,RFE/RL,International,"Around 20 May 2024 (as reported), Tajik police force have arrested around 30 residents pf Dashti Yazgulom ( Vanc), and are accused to be members of a banned organization in Tajikistan, Jamaat Ansarullah.",0,,1719939640
TJK175,21/06/2024,2024,2,Strategic developments,Strategic developments,Arrests,Police Forces of Tajikistan (1994-),,State forces,Civilians (Tajikistan),Former Government of Tajikistan (1994-),Civilians,State forces-Civilians,,762,Caucasus and Central Asia,Tajikistan,Dushanbe,Firdavsi,,Dushanbe,38.56,68.7739,1,RFE/RL,International,"Around 21 June 2024 (as reported), the former chairman of the Supreme Council of Tajikistan, Akbarsho Iskandarov, was detained in Dushanbe. Law enforcement agencies and relatives of Iskandarov refrain from comments.",0,,1719939640
TJK176,20/06/2024,2024,2,Strategic developments,Strategic developments,Arrests,Police Forces of Tajikistan (1994-),,State forces,Civilians (Tajikistan),Former Government of Tajikistan (1994-),Civilians,State forces-Civilians,,762,Caucasus and Central Asia,Tajikistan,Dushanbe,Firdavsi,,Dushanbe,38.56,68.7739,1,RFE/RL,International,"Around 20 June 2024 (as reported), a former Foreign Minister of Tajikistan was detained in Dushanbe. Law enforcement agencies did not confirm or deny his detention or release. His relatives also did not comment about the situation.",0,,1719939640
KGZ2129,13/06/2024,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Talas,Bakay-Ata,,Bakai-Ata,42.4833,71.9166,2,Youtube,New media,"On 13 June 2024, residents of Chaldybar village near Bakai-Ata township in Bakay-Ata district of Talas region protested outside the boarding school in protest of the planned transition of the educational facility into private lyceum, which protesters argue would affect their and local children in the area, calling for the authorities to allow boarding school remain in place.",0,crowd size=no report,1720552465
KGZ2157,30/06/2024,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Osh,Nookat,,Nookat,40.1666,72.75,2,Sanjar Kalmatai,New media,"On 30 June 2024, villagers physically blocked the main road near the town of Nookat in Osh region in protest of slow rescue efforts and search mission by the country's Ministry of Emergency for missing residents after flash flood in the area demanding that the authorities conduct timely search for victims of flash flood.",0,crowd size=no report,1720552465
KGZ2162,05/07/2024,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Chui,Alamudun,,Kok-Jar,42.8068,74.6486,1,24Kg,National,"On 5 July 2024, 30-40 private land plot owners gathered on their land properties in Kok-Jar village in Alamudun district of Chui region demanding that the city administration of Bishkek register and legalize their land plots.",0,crowd size=30-40,1720552465
KGZ2164,09/07/2024,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Talas,Talas,,Talas,42.5227,72.2332,1,24Kg,National,"On 9 July 2024, residents of two villages protested outside regional governor's office in Talas township against slow progress with road construction and poor quality of local roads demanding that the authorities fix bad roads on schedule.",0,crowd size=no report,1721157109
