event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
TJK33,27/03/2019,2019,3,Political violence,Violence against civilians,Attack,Police Forces of Tajikistan (1994-) Prison Guards,,State forces,Civilians (Tajikistan),Prisoners (Tajikistan),Civilians,State forces-Civilians,Civilian targeting,762,Caucasus and Central Asia,Tajikistan,Dushanbe,Firdavsi,,Dushanbe,38.56,68.7739,1,RFE/RL; Kyrgyztoday,International,"As reported on 27 March, inmates of a penal colony in Dushanbe complained of torture and extortion of money. Reportedly the prisoners are frequently beaten or bullied and have to pay to the officers to be treated better. The authorities deny any such accusation, but promised investigation.",0,,1618580364
TJK58,29/09/2019,2019,3,Strategic developments,Strategic developments,Arrests,Police Forces of Tajikistan (1994-),,State forces,Civilians (Tajikistan),,Civilians,State forces-Civilians,,762,Caucasus and Central Asia,Tajikistan,Sughd,Isfara,,Isfara,40.1223,70.6272,2,Fergana News; Dialog,National-International,"As reported on 29 September, law enforcers of the Isfara district, Tajikistan, have been summoning or even detaining residents of the district - parents of young men as a form of pressure in order to make them to join the military forces of Tajikistan. The authorities of Isfara denied the statements and complains, claiming that the residents have been only invited for conversation or explanatory work. [coded according to the version of the civilians]",0,,1572006472
KGZ3,04/06/2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Bishkek,Oktyabr,,Bishkek,42.8731,74.6003,1,24Kg,National,"On 4 June 2018, in Bishkek, about 30 people protested demanding release of the leaders of El Unu opposition movement.",0,crowd size=about 30,1618561112
TJK60,09/08/2019,2019,2,Political violence,Violence against civilians,Sexual violence,Police Forces of Tajikistan (1994-) Prison Guards,,State forces,Civilians (Tajikistan),Women (Tajikistan),Civilians,State forces-Civilians,Civilian targeting,762,Caucasus and Central Asia,Tajikistan,Khatlon,Vakhsh,,Rudaki,37.6926,68.8353,1,Asiaplus,International,"In the week of the holiday Qurban (around 9 August), a detained woman in Rudaki village of Vakhsh in Khatlon region was raped by the local police officers.",0,,1572006472
TJK31,15/09/2018,2018,2,Strategic developments,Strategic developments,Change to group/activity,Police Forces of Tajikistan (1994-),Military Forces of Tajikistan (1994-),State forces,,,,State forces only,,762,Caucasus and Central Asia,Tajikistan,Gorno-Badakhshan Autonomous,Shugnon,,Khorugh,37.4874,71.5491,1,Cabar,International,"In mid-September, police forces and military forces were deployed to Khorugh after a visit of the President, and stayed there for several months to combat 'lawlessness,' which raised the tensions with local residents of the region.",0,,1618580364
KGZ188,15/02/2019,2019,2,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Kyrgyzstan),,Political militia,Civilians (Kyrgyzstan),Muslim Group (Kyrgyzstan),Civilians,Political militia-Civilians,Civilian targeting,417,Caucasus and Central Asia,Kyrgyzstan,Issyk-Kul,Issyk-Kul,,Tamchy,42.5636,76.6593,1,Forum 18,International,"As reported on 8 March, in February 2019 around 10 people attacked a Muslim man in Tamchy for being a friend with a Christian man who had been beaten up over his faith in October 2018. Threats against Christians flared up after this incident.",0,,1572006473
KGZ189,15/12/2018,2018,2,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Kyrgyzstan),,Political militia,Civilians (Kyrgyzstan),Protestant Christian Group (Kyrgyzstan),Civilians,Political militia-Civilians,Civilian targeting,417,Caucasus and Central Asia,Kyrgyzstan,Issyk-Kul,Issyk-Kul,,Tamchy,42.5636,76.6593,1,Forum 18,International,"As reported on 8 March 2019, in December 2018 a Protestant Christian man was beaten by several men in a local market in Tamchy who shouted 'we know you are a Christian wand we will punish you'. He left the village afterwards for fears for his safety. Two months earlier another Christian man had been severely beaten up.",0,,1572006473
TJK13,15/07/2018,2018,3,Political violence,Violence against civilians,Attack,Police Forces of Tajikistan (1994-),,State forces,Civilians (Tajikistan),IRPT: Islamic Renaissance Party of Tajikistan,Civilians,State forces-Civilians,Civilian targeting,762,Caucasus and Central Asia,Tajikistan,Sughd,B Gafurov,,Khujand,40.2811,69.6392,3,Kyrgyztoday,International,"In the summer of 2018, a man was arrested as part of a group of 15 former members of the banned IRPT. Shortly after his release, he committed suicide leaving a video where he declared having been tortured by law enforcements [coded to Khujand].",0,,1618580363
KGZ25,01/11/2018,2018,2,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Kyrgyzstan),,Political militia,Civilians (Kyrgyzstan),Labor Group (Kyrgyzstan),Civilians,Political militia-Civilians,Civilian targeting,417,Caucasus and Central Asia,Kyrgyzstan,Chui,Jayyl,,Kara-Balta,42.8035,73.8546,1,Kyrgyztoday,National,"In the beginning of November 2018, a worker of the Junda plant was beaten by unidentified individuals in Kara-Balta. The plant which had been described for not paying the salaries of its workers. He was previously warned not to interfere in the case.",0,,1618561108
TJK25,15/03/2018,2018,2,Political violence,Violence against civilians,Attack,Police Forces of Tajikistan (1994-),,State forces,Civilians (Tajikistan),,Civilians,State forces-Civilians,Civilian targeting,762,Caucasus and Central Asia,Tajikistan,Khatlon,Muminobod,,Muminabad,38.1093,70.0263,1,RFE/RL,International,"As reported on 20 April, in mid-March a resident of Muminabad was reportedly taken to a local police office and severely beaten by law enforcers, because of his state of intoxication by alcohol. According to his relative, even one month later he still suffered from the consequences of the beating. Exact date of the attack was not specified.",0,,1572006493
TJK45,15/07/2018,2018,2,Political violence,Violence against civilians,Attack,Police Forces of Tajikistan (1994-),,State forces,Civilians (Tajikistan),,Civilians,State forces-Civilians,Civilian targeting,762,Caucasus and Central Asia,Tajikistan,Khatlon,Yevon,,Yovon,38.314,69.0378,2,Svoboda ot pytok,National,"In July 2018, police detained a man in Yovon district [coded to Yovon] and beat, kicked and gave him electric shocks until he confessed of having committed a stabbing. The victim of the stabbing later stated that the suspect was not the perpetrator and he was released.",0,,1618580366
TJK30,01/01/2019,2019,2,Political violence,Violence against civilians,Attack,Police Forces of Tajikistan (1994-),,State forces,Civilians (Tajikistan),Women (Tajikistan),Civilians,State forces-Civilians,Civilian targeting,762,Caucasus and Central Asia,Tajikistan,Sughd,Ayni,,Ayny,39.3903,68.5392,1,Tajinfo.org,National,"In early January 2019, an elderly female resident of Aini district, Sughd region was arrested and reportedly beaten by police officers in order to provide confession to an alleged crime. Later she had to be transferred to a hospital with serious injuries.",0,,1572006494
KGZ231,02/08/2019,2019,1,Political violence,Riots,Mob violence,Rioters (Kyrgyzstan),,Rioters,Rioters (China),Labor Group (China),Rioters,Rioters-Rioters,,417,Caucasus and Central Asia,Kyrgyzstan,Naryn,Naryn,,Solton-Sary,41.78,76.2342,1,AKIpress; Respub; RFE/RL; Kaktus Media,National-International,"In the night of 2 to 3 August, a verbal altercation ended in a fight between two local residents of Solton-Sary and several Chinese gold miners. Two Kyrgyz men were injured and hospitalized. Tensions had been high between residents and employees of the Chinese goldmine after the mass death of livestock in the region, associated in the opinion of local residents with the mining activities.",0,crowd size=no report,1572888325
KGZ26,18/12/2018,2018,2,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),Labor Group (Kyrgyzstan),Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Issyk-Kul,Issyk-Kul,,Cholpon-Ata,42.6494,77.0756,1,RFE/RL; Kyrgyztoday; Gezitter,National-International,"Around 18 December 2018, about 50 workers building the Balykchy-Korumdu road gathered in Cholpon-Ata to protest against the non-payment of their salaries since the summer of the same year.",0,crowd size=about 50,1572888325
KGZ321,18/12/2019,2019,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Bishkek,Oktyabr,,Bishkek,42.8731,74.6003,1,24Kg,National,"On 18 December 2019, about 600 protesters demonstrated in the Ala-Too main square in Bishkek in support of free speech and against corruption in the Kyrgyz state. Protest was sparked by Matrayimov family lawsuit against three news organizations that published investigative report on money laundering in Kyrgyzstan.",0,crowd size=about 600,1618561115
KGZ324,16/12/2019,2019,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Jalal-Abad,Bazar-Korgon,,Kyzyl-Unkur,41.363,73.0713,1,AKIpress,National,"On 16 December 2019, about 20 villagers in Kyzyl-Unkur village of Bazar-Korgon district protested against reappointment of the director of the local forest park. Villagers insisted he is unfit for the job due to his unprofessional conduct toward the local population.",0,crowd size=about 20,1578517426
KGZ325,19/12/2019,2019,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Bishkek,Oktyabr,,Bishkek,42.8731,74.6003,1,AKIpress,National,"On 19 December 2019, about 55 supporters of the former lawmaker Sadyr Japarov who is inprison, gathered at the Gorky square in Bishkek city wearing t-shirts with his image and placard for his release from jail. Former MP was sentenced to 11 years and 6 months in prison for organizing mass protests.",0,crowd size=about 55,1618561115
KGZ328,23/12/2019,2019,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),Labor Group (Kyrgyzstan),Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Talas,Talas,,Talas,42.5227,72.2332,1,AKIpress,National,"On 23 December 2019, dozens of truck drivers gathered outside the Kyrgyz government representative office in Talas city demanding intervention in their problems with the road police in Kazakhstan due to excessive fines for traffic violations. Kyrgyz authorities responded by intiating talks with the Kazakh countrparts through the Ministry of Foreign Affairs.",0,crowd size=dozens,1578517426
KGZ329,26/12/2019,2019,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Bishkek,Oktyabr,,Bishkek,42.8731,74.6003,1,Kaktus Media,National,"On 26 December 2019, 10-15 relatives and supporters of arrested Kyrgyz politician protested outside the main government building in Bishkek city demanding fair justice and his release from detention. He was detained on 12 December and charged with provoking the mass riots in 7-8 August at the former Kyrgyz president's mansion.",0,crowd size=10-15,1618561115
KGZ330,27/12/2019,2019,1,Political violence,Riots,Mob violence,Rioters (Kyrgyzstan),Vigilante Group (Kyrgyzstan),Rioters,Civilians (Kyrgyzstan),Women (Kyrgyzstan),Civilians,Rioters-Civilians,Civilian targeting,417,Caucasus and Central Asia,Kyrgyzstan,Bishkek,Oktyabr,,Bishkek,42.8731,74.6003,1,Kaktus Media,National,"On 27 December 2019, the coordinator of a contemporary feminist art-exhibition in Bishkek city was attacked by two rioters near her home in the late night hours. The exhibtion had received a lot of reaction from anti-feminism groups in late-November.",0,crowd size=2,1618561116
KGZ327,21/12/2019,2019,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Jalal-Abad,Aksy,,Itagar,41.6344,71.8664,1,RFE/RL,International,"On 21 December 2019, 20-30 villagers in the town of Itagar gathered in the center of the village to protest against rising number of cattle theft in the area. Protesters expressed their dissatisfaction with the local authorities and police for being unable to curb the crime problem.",0,crowd size=20-30,1578517427
KGZ326,19/12/2019,2019,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Bishkek,Oktyabr,,Bishkek,42.8731,74.6003,1,RFE/RL,International,"On 19 December 2019, 15-20 protesters demonstrated outside the Supreme Court in Bishkek city demanding dismissal of the head of the Worker's Union in Kyrgyzstan. Protesters accused the head of union of misuse of funds and mismanagement of properties.",0,crowd size=15-20,1618561115
TJK70,31/12/2019,2019,1,Political violence,Violence against civilians,Attack,Police Forces of Tajikistan (1994-),,State forces,Civilians (Tajikistan),Prisoners (Tajikistan),Civilians,State forces-Civilians,Civilian targeting,762,Caucasus and Central Asia,Tajikistan,Dushanbe,Firdavsi,,Dushanbe,38.56,68.7739,1,RFE/RL,International,"On 31 December 2019, three brothers were detained and tortured by the Tajik Police in Dushanbe, Tajikistan. The counter account has been given by the Ministry of Internal Affairs that asserts one of the detained was arrested on the 30 December while selling illegal narcotics; the Ministry is silent on the account of two other brothers. Meanwhile the mother of the detained insists her son was tortured into confessing the crime.",0,,1618580368
KGZ320,16/12/2019,2019,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Batken,Batken,,Kok-Tash,39.9507,70.549,1,24Kg,National,"On 16 December 2019, 30-40 Kyrgyz villagers from Kok-Tash town in Batken district protested against the fence that was being installed by the Tajik villagers. Kyrgyz Border Service officers who were called in to the scene ordered to halt any construction on the disputed territory which Tajik villagers refused to do so. No further information, no report of physical violence.",0,crowd size=30-40,1578945413
KGZ340,11/01/2020,2020,1,Political violence,Riots,Mob violence,Rioters (Kyrgyzstan),,Rioters,Rioters (Tajikistan),,Rioters,Rioters-Rioters,,417,Caucasus and Central Asia,Kyrgyzstan,Batken,Batken,,Kok-Tash,39.9507,70.549,2,Kaktus Media; RFE/RL,National-International,"On 11 January 2020, rioters from Tajikistan threw stones at the vehicles belonging to Kyrgyz villagers in Tort-Kocho location near Kok-Tash village in Batken district that caused a verbal skirmish with the Kygryz villagers. Two groups then started to throw stoned to each other. Conflict was suppressed after intervention of the police and border services of the two countries .",0,crowd size=unknown,1579540786
KGZ345,15/01/2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Batken,Batken,,Batken,40.0639,70.8247,1,AKIpress,National,"On 15 January 2020, about 50 protesters gathered in Batken town of Batken region with the release of four villagers from the town of Kok-Tash near the border with Tajikistan. The villagers were detained after violent conflict broke out near Kok-Tash village between Tajik and Kyrgyz villagers on 11 January.",0,crowd size=about 50,1579540786
KGZ346,22/01/2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Issyk-Kul,Tup,,Tup,42.7292,78.3636,1,RFE/RL,International,"On 22 January 2020, about 150 supporters of the imprisoned former lawmaker Sadyr Japarov demonstrated outside the district administration's office in Tup village of Issyk Kul region demanding release of former MP from prison.",0,crowd size=about 150,1580152078
TJK71,20/01/2020,2020,2,Strategic developments,Strategic developments,Arrests,Police Forces of Tajikistan (1994-),,State forces,Civilians (Tajikistan),Muslim Group (Tajikistan); Teachers (Tajikistan); Muslim Brotherhood (Tajikistan); Government of Tajikistan (1994-); Students (Tajikistan),Civilians,State forces-Civilians,,762,Caucasus and Central Asia,Tajikistan,Dushanbe,Firdavsi,,Dushanbe,38.56,68.7739,3,RFE/RL,International,"As reported on 20 January 2020, over the previous two weeks a total of 70 people were detained on the suspicion of membership in the Muslim Brotherhood. Teachers, governmental employees, writers, students were reported to be among them. The exact locations of the arrests are unclear, but the media reports mention the arrests took place in different locations across the country, with the majority most likely in Dushanbe.",0,,1618580368
TJK72,28/01/2020,2020,2,Strategic developments,Strategic developments,Arrests,Police Forces of Tajikistan (1994-),,State forces,Civilians (Tajikistan),Muslim Group (Tajikistan); Teachers (Tajikistan); Muslim Brotherhood (Tajikistan),Civilians,State forces-Civilians,,762,Caucasus and Central Asia,Tajikistan,Dushanbe,Firdavsi,,Dushanbe,38.56,68.7739,3,RFE/RL,International,"As reported on 28 January 2020, over the previous week, the arrests of more people that are suspected of membership in Muslim Brotherhood continued in Tajikistan. The number of arrested people has increased from 27 to at least 113. Teachers, governmental employees, writers, students were claimed to be among the detained. The exact locations are not clear but the media reports mention the arrests took place in different locations in the country, with the majority of the detained being in Dushanbe. The report specifically emphasizes the arrests of the relatives of the prominent religious leaders of Tajikistan, who have lately been under the close attention and control of the Tajik government, due to their important role in the Tajik society.",0,,1618511669
KGZ351,30/01/2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Jalal-Abad,Ala-Buka,,Tengi,41.2111,71.2293,2,Sanjar Kalmatai,New media,"On 30 January 2020, a group of villagers from Kok-Serek village near Tengi town in Ala-Buka district of Kyrgyzstan gathered to protest the Uzbek border guards after they attempted to install a water canal on the claimed Kyrgyz territory. The border guards stopped their work upon the protest.",0,crowd size=no report,1580753649
KGZ350,30/01/2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Naryn,At-Bashy,,At-Bashi,41.1696,75.8031,1,AKIpress,National,"On 30 January 2020, about 100 residents of At-Bashi district gathered in the town of At-Bashi in protest of the planned China-funded logistics hub in the area.",0,crowd size=about 100,1581355045
KGZ347,28/01/2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Naryn,At-Bashy,,At-Bashi,41.1696,75.8031,1,AKIpress,National,"On 28 January 2020, about 400 villagers protested outside the At-Bashi district administration's office in the town of At-Bashi against the planned Chinese funded logistical hub in the district. Protesters demanded the Kyrgyz authorities stop to China's involvement in the project.",0,crowd size=about 400,1581355045
KGZ352,06/02/2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Naryn,Ak-Talaa,,Ak-Tal,41.4134,75.0509,2,RFE/RL; AKIpress,National-International,"On 6 February 2020, 200-500 residents of the Naryn region gathered in the village of Kalinin which is part of Ak-Tal town to protest against the $280 million Chinese investor funded logistics hub project in the area. Protesters believe the land where Chinese funded project is planned to be built, will be transferred to China in the future in exchange for debt.",0,crowd size=200-500,1581356597
KGZ354,06/02/2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),Labor Group (Kyrgyzstan),Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Naryn,At-Bashy,,Torugart,40.5914,75.4138,1,Sanjar Kalmatai,New media,"On 6 February 2020, about 33 quarantined Kyrgyz truckers protested at the Torugart border post on the Kyrgyzstan-China border against lack of food in the facility. Truckers demanded border service provide food which truckers will pay for.",0,crowd size=about 33,1581356598
KGZ356,10/02/2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Osh,Alay,,Sogondu,40.1858,73.4863,2,RFE/RL,International,"On 10 February 2020, about 200 local villagers of the town of Sogondu in Alai district of Osh region protested against the nearby Taigak-Tash coal mining project by gathering near the mine. Protesters expressed concern over an environmental impact of the coal mine on the local river and pice trees in the area.",0,crowd size=about 200,1776186858
KGZ361,17/02/2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Naryn,At-Bashy,,At-Bashi,41.1696,75.8031,1,AKIpress,National,"On 17 February 2020, 300-400 local villagers protested against the Chinese investment logistics hub project in At-Bashi district of eastern Naryn region in Kyrgyzstan. Protesters said that there is an information about 200 hectares of land that was already given to China for the project and the local Kyrgyz villagers are categorically against it.",0,crowd size=300-400,1582568764
KGZ360,15/02/2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Naryn,At-Bashy,,At-Bashi,41.1696,75.8031,1,RFE/RL,International,"On 15 February 2020, public protest against the Chinese investor-funded logistics hub project took place in At-Bashi town of At-Bashy district in Naryn region of Kyrgyzstan. Protesters demanded the Kyrgyz government show them an official document which clarifies whether the land was leased to the Chinese company.",0,crowd size=no report,1582568765
KGZ364,16/02/2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Osh,Kara-Suu,,Ozgur,40.4502,72.8541,1,RFE/RL,International,"On 16 February 2020, about 30 residents protested in Ozgur village of Osh region demanding the local authorities resolve their land dispute with the private company. Protesters said this dispute has been in the courts since 2016 and has yet to come to a conclusion.",0,crowd size=about 30,1618504397
KGZ378,12/03/2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Chui,Kemin,,Chym-Korgon,42.8153,75.4968,1,AKIpress,National,"On 12 March 2020, 30-40 residents of Chym-Korgon village in Kemin district of Chui region protested outside the local administration's office against negligent transfer of 1 km border to the neighboring Kazakhstan. Protesters claimed the local construction businesses mine rubble and stone from the banks of nearby river that divides the two countries which resulted in riverbed changing its direction. The local administration officials told protesters the special commission was created to investigate the issue.",0,crowd size=30-40,1584385140
KGZ377,11/03/2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Jalal-Abad,Ala-Buka,,Tengi,41.2111,71.2293,2,RFE/RL,International,"On 11 March 2020, a group of Kyrgyz villagers protested against the Uzbek villagers, who intruded into the Kyrgyz territory in Tash-Aryk village near the town of Tengi in Ala-Buka district of Jalal-Abad region, to dig a small aqueduct which would open access to water source on the Kyrgyz side. The Kyrgyz villagers demanded the Uzbek villagers stop digging to which the Uzbek villagers claimed it's their territory.",0,crowd size=a group,1584385141
KGZ331,03/01/2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Naryn,At-Bashy,,Karasuu,41.1287,75.6779,2,AKIpress,National,"On 3 January 2020, 5-10 residents of Jibek-Jolu village in Kara-Suu town vicinity of Naryn region protested demanding access to drinking water.",0,crowd size=5-10,1584984352
KGZ382,31/03/2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Issyk-Kul,Tup,,Tup,42.7292,78.3636,2,AKIpress,National,"On 31 March 2020, more than dozen of Mayak village residents protested against the local authorities initiated plan to open a coronavirus quarantine facility for possibly infected patients near their village in Tup district of Issyk-Kul region. Protesters expressed worries they may get infected if a quarantine facility goes into operation.",0,crowd size=more than dozen,1586190074
KGZ383,01/04/2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Issyk-Kul,Tup,,Tup,42.7292,78.3636,2,Kaktus Media,National,"On 1 April 2020, a group of Mayak village residents protested against the local authorities' plan to open a quarantine facility for possibly infected with coronavirus patients near their village in Tup district of Issyk-Kul region. The local authorities were forced to abandon the plan after demonstrations.",0,crowd size=no report,1586190074
KGZ384,01/04/2020,2020,1,Strategic developments,Strategic developments,Looting/property destruction,Unidentified Armed Group (Kyrgyzstan),,Political militia,Civilians (Kyrgyzstan),,Civilians,Political militia-Civilians,,417,Caucasus and Central Asia,Kyrgyzstan,Issyk-Kul,Tup,,Tup,42.7292,78.3636,2,RFE/RL,International,"On 1 April 2020, a group of unknown people broke the windows of the children's summer camp building in the village of Mayak in Tup district of Issyk-Kul region. It was a possibility that the attackers were part of the movement opposing the authorities' initial plan to open a quarantine facility at the summer camp for infected or possibly infected patients with coronavirus.",0,,1586190074
KGZ387,04/04/2020,2020,1,Political violence,Riots,Mob violence,Rioters (Kyrgyzstan),,Rioters,Civilians (Kyrgyzstan),,Civilians,Rioters-Civilians,Civilian targeting,417,Caucasus and Central Asia,Kyrgyzstan,Osh,Kara-Suu,,Uchar,40.4735,72.7765,2,AKIpress,National,"On 4 April 2020, a villager of Ak-Buura town in Kara-Suu district of Osh region was physically attacked by the residents of the nearby Uchar village after he refused to let Uchar villagers through a roadblock at the entrance of the town. The roadblock was voluntarily installed by the local community to keep out the possibly infected people with coronavirus. The victim was hospitalized with injures.",0,crowd size=several,1586794244
TJK73,17/04/2020,2020,1,Strategic developments,Strategic developments,Other,Government of Tajikistan (1994-),,State forces,Civilians (Tajikistan),,Civilians,State forces-Civilians,,762,Caucasus and Central Asia,Tajikistan,Dushanbe,Firdavsi,,Dushanbe,38.56,68.7739,1,Khovar Information Agency,National,"On 17 April 2020, the Council of Ul_m_ of the Islamic Center in Tajikistan has banned praying in the mosques for people of Tajikistan for the whole period of Ramadan month, in light of the 'coronavirus' outbreak in the rest of the world.",0,,1618502756
KGZ389,24/04/2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),Farmers (Kyrgyzstan),Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Batken,Batken,,Jany-Jer,40.127,70.8972,1,Sanjar Kalmatai,New media,"On 24 April 2020, 20-30 villagers and farmers protested at the nearby police quarantine roadblock as part of coronavirus measures in the village of Jany-Jer in Batken district, against the lack of irrigation water supply which protesters insisted is having a negative impact on their crop fields. Protesters demanded the local authorities resolve the issue.",0,crowd size=20-30,1588014164
KGZ391,07/05/2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Kazakhstan),Farmers (Kazakhstan),Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Chui,Ysyk-Ata,,Telman,42.7248,75.0672,1,AKIpress; Sanjar Kalmatai,New media-National,"On 7 May 2020, 15-20 residents of Telman village in Ysyk-Ata district protested against decrease in the milk prices, set by the wholesalers whom protesters sell it to.",0,crowd size=15-20,1589217690
KGZ394,09/05/2020,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Naryn,At-Bashy,,Acha-Kaindy,41.1426,75.8101,1,Sanjar Kalmatai,New media,"On 9 May 2020, more than 50 residents of Acha-Kaindy village in At-Bashy district of Naryn region protested in the vicinity against coronavirus quarantine lockdown in their town as it reportedly impeded their seasonal farming work and activity near or outside the village. Protesters called for the Kyrgyz authorities to remove police roadblocks.",0,crowd size=more than 50,1589217691
KGZ414,10/08/2018,2018,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Kyrgyzstan),,Political militia,Civilians (Russia),Labor Group (Russia),Civilians,Political militia-Civilians,Civilian targeting,417,Caucasus and Central Asia,Kyrgyzstan,Bishkek,Oktyabr,,Bishkek,42.8731,74.6003,1,RFE/RL; Sanjar Kalmatai,New media-International,"On 10 August 2018, an improvised explosive device was detonated on the intersection of Isanova and Ryskulova streets in Bishkek city targeting a Russian businessman at his office. No casualties were reported aside from minor injuries suffered by the Russian national. Kyrgyz media reported this was the second assassination attempt on the same Russian citizen's life after the first one in 2016.",0,,1618561118
KGZ437,28/04/2019,2019,1,Political violence,Riots,Mob violence,Rioters (Tajikistan),,Rioters,Civilians (Kyrgyzstan),Farmers (Kyrgyzstan),Civilians,Rioters-Civilians,Civilian targeting,417,Caucasus and Central Asia,Kyrgyzstan,Batken,Batken,,Ak-Sai,39.8789,70.5192,2,Sanjar Kalmatai; Kaktus Media,New media-National,"On 28 April 2019, about 4 residents of the Tajik exclave Vorukh threw stones at the Kyrgyz villager's pickup truck damaging the vehicle's windshield near the village of Ak-Sai. Kyrgyz villager was driving through Vorukh because that is the only road Kyrgyz villagers use to get to the pastureland outside the Tajik village.",0,crowd size=about 4,1591034734
