event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,event_month
TJK27,2019-04-22,2019,1,Demonstrations,Riots,Violent demonstration,Rioters (Tajikistan),,Rioters,Civilians (Kyrgyzstan),,Civilians,Rioters-Civilians,,762,Caucasus and Central Asia,Tajikistan,Sughd,Isfara,,Vorukh,39.8512,70.5801,1,RFE/RL,International,"On 22 April 2019, violent demonstrations of local Tajik and Kyrgyz villagers occurred in their respective villages in the border area. Reportedly, a young Kyrgyz boy was taken from a settlement Ak-Sai onto the Tajik territory - Tojikon settlement (Isfara district, Vorukh). Although the boy was immediately returned, at least 50 Kyrgyz locals from Ak-Sai spontaneously gathered expressing their anger - blocked a road and vandalized several Tajik vehicles, as well as Tajiks damaged a Kyrgyz one in their area. Three Tajiks were detained.",0,crowd size=no report,1649875357,2019-04-01
KGZ146,2019-04-22,2019,1,Political violence,Riots,Mob violence,Rioters (Kyrgyzstan),,Rioters,Police Forces of Kyrgyzstan (2017-2020) Kyrgyz Frontier Force,Civilians (Tajikistan),State forces,State forces-Rioters,,417,Caucasus and Central Asia,Kyrgyzstan,Batken,Batken,,Batken,40.0639,70.8247,2,Fergana News,International,"On 22 April 2019, residents of Kyrgyz settlements around the border with Vorukh exclave attacked with stones a Tajik taxi and tractors and its drivers, carrying passengers to Vorukh, and damaged them. Following the incident and due to tensions among the Tajik and Kyrgyz inhabitants, the armed forces of Kyrgyzstan intervened.",0,crowd size=no report,1649875357,2019-04-01
KGZ74,2019-03-13,2019,1,Political violence,Battles,Armed clash,Unidentified Armed Group (Kyrgyzstan),Police Forces of Kyrgyzstan (2017-2020) Kyrgyz Frontier Force,Political militia,Unidentified Armed Group (Tajikistan),,Political militia,Political militia-Political militia,,417,Caucasus and Central Asia,Kyrgyzstan,Batken,Batken,,Ak-Sai,39.8789,70.5192,1,24Kg; AKIpress; Kabar,National-International,"On 13 March 2019, hundreds of Tajiks and Kyrgyz pelted one another with rocks in the village of Ak-Sai, Batken Oblast, because of a disagreement over a road currently under construction in the disputed section of the Tajik-Kyrgyz border. According to 24kg, firearms also have been deployed. Kyrgyzstan's border guards intervened and stopped the conflict. During the collision, one or two of the Tajik people died (according to various resources), and more than 20 were injured.",2,,1649875362,2019-03-01
KGZ1510,2022-04-12,2022,1,Strategic developments,Strategic developments,Other,Civilians (Kyrgyzstan),Refugees/IDPs (Kyrgyzstan),Civilians,,,,Civilians only,,417,Caucasus and Central Asia,Kyrgyzstan,Batken,Leylek,,Leilek,39.8773,70.0911,1,24Kg,National,"Displacement: On 12 April 2022, about 17,000 residents of Leylek district in Batken region were forced to self-evacuate to the safer locations near Leilek township away from the bordering with Tajikistan villages after armed clashes erupted between Kyrgyz and Tajik border troops due to deadly shooting on the disputed border.",0,,1650394649,2022-04-01
KGZ1512,2022-04-09,2022,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,Protesters (Tajikistan),,Protesters,Protesters-Protesters,,417,Caucasus and Central Asia,Kyrgyzstan,Batken,Leylek,,Internatsionalnoye,40.1187,69.6719,2,Sanjar Kalmatai,New media,"On 9 April 2022, Kyrgyz and Tajik villagers gathered for a counter-demonstration on the disputed border in Eski Ochu village near Internatsionalnoye township in Leylek district of Batken region following water dispute when Kyrgyz villagers allegedly blocked the water supply to the Tajik side. Tajik and Kyrgyz border guards appeared on the scene to maintain security in the area.",0,crowd size=no report,1650394650,2022-04-01
KGZ1523,2022-04-16,2022,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),Farmers (Kyrgyzstan),Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Batken,Leylek,,Zhany-Jer,40.0281,69.9462,1,24Kg,National,"On 16 April 2022, farmers gathered near their crop fields in the village of Zhany-Jer in Leylek district of Batken region in protest of lack of irrigation water supply calling for the country's president to assist them with resolving the issues due to failure to act by the local authorities.",0,crowd size=no report,1650997734,2022-04-01
KGZ318,2019-12-11,2019,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Batken,Leylek,,Kulundu,40.1069,69.6393,1,Sanjar Kalmatai,New media,"On 11 December 2019, 10-15 residents of the Kulundu village in Leilek district of Batken region on the border with Tajikistan gathered to protest and express their frustrations with the government of Kyrgyzstan due to lack of social assistance and lack of electricity supply. Villagers told the local blogger the country's authorities aren't paying enough attention to the Kyrgyz communities in the bordering territory.",0,crowd size=10-15,1651181549,2019-12-01
KGZ216,2019-07-24,2019,1,Political violence,Riots,Mob violence,Rioters (Kyrgyzstan),,Rioters,Police Forces of Kyrgyzstan (2017-2020),,State forces,State forces-Rioters,,417,Caucasus and Central Asia,Kyrgyzstan,Batken,Batken,,Ak-Sai,39.8789,70.5192,1,Vecherniy Bishkek; Vesti.kg; RFE/RL,National-International,"On 24 July 2019, 4 police officers were wounded in a clash with villagers of Ak-Sai when they tried to return order by stopping them from once again blocking the road connecting the Tajik exclave of Vorukh to Tajikistan, which had caused violent clashes in the two days before. Police used sound grenades to disperse the crowd. No injuries among the villagers were reported.",0,crowd size=no report,1651181549,2019-07-01
KGZ215,2019-07-23,2019,1,Political violence,Riots,Mob violence,Rioters (Kyrgyzstan),Police Forces of Kyrgyzstan (2017-2020) Kyrgyz Frontier Force,Rioters,Rioters (Tajikistan),,Rioters,Rioters-Rioters,,417,Caucasus and Central Asia,Kyrgyzstan,Batken,Batken,,Ak-Sai,39.8789,70.5192,1,Vecherniy Bishkek; Vesti.kg; RFE/RL,National-International,"On 23 July 2019, 17 Kyrgyz were injured, including 4 residents of Ak-Sai village and 13 border guards, by Tajik residents of the Vorukh exclave who threw stones and fired rifles at them. The clash followed one day after tensions had erupted between the two communities over the construction of a road through Kyrgyz territory. More villagers were evacuated from Ak-Sai that evening reaching a total of 600.",0,crowd size=no report,1651181549,2019-07-01
KGZ1531,2022-04-22,2022,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Batken,Batken,,Boz-Adyr,39.9985,71.0732,2,RFE/RL,International,"On 22 April 2022, residents of Suu-Bashy village near Boz-Adyr township in Batken district of Batken region gathered outside the local administration in protest of lack of irrigation water supply due to water pump failure on the disputed border with Uzbekistan's Sokh exclave demanding that the Kyrgyz authorities fix the pump and provide water supply.",0,crowd size=no report,1652217212,2022-04-01
KGZ1535,2022-04-27,2022,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Batken,Kadamjay,,Maidan,40.0603,72.0856,1,Sanjar Kalmatai,New media,"On 27 April 2022, residents of Kadamjay district in Batken region physically blocked the access road to the Bel-Alma coal mine near Maidan village to the truck drivers following a dispute between locals and coal truckers.",0,crowd size=no report,1652217212,2022-04-01
KGZ1545,2022-05-11,2022,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),Farmers (Kyrgyzstan),Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Batken,Batken,,Batken,40.0639,70.8247,2,Sanjar Kalmatai,New media,"On 11 May 2022, farmers and supply business owners gathered near the town of Batken in Batken district of Batken region in protest of increased scrutiny and bureaucracy on the roads in the district due to security service-controlled stationary road posts calling for the country's government to remove road posts.",0,crowd size=no report,1652811459,2022-05-01
KGZ1560,2022-05-19,2022,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Batken,Batken,,Batken,40.0639,70.8247,1,RFE/RL,International,"On 19 May 2022, supporters of two local officials protested outside the Batken district court in Batken township against persecution of both politicians demanding fair trial in their court cases following police launching an investigation into alleged abuse of power by two officials.",0,crowd size=no report,1653401106,2022-05-01
KGZ1574,2022-06-03,2022,1,Political violence,Battles,Armed clash,Police Forces of Kyrgyzstan (2021-) Kyrgyz Frontier Force,,State forces,Military Forces of Tajikistan (1994-) Border Service,,External/Other forces,State forces-External/Other forces,,417,Caucasus and Central Asia,Kyrgyzstan,Batken,Batken,,Batken,40.0639,70.8247,2,24Kg,National,"On 3 June 2022, a firefight broke out between Kyrgyz and Tajik border troops in Bulak-Bashi locality near the town of Batken in Batken district after Tajik border guards allegedly intruded into the Kyrgyz territory resulting in engagement on the disputed border resulting in hospitalization of two Kyrgyz servicemen due to gunshot wounds. The Kyrgyz side accused Tajik side of firing live rounds including mortar rounds on Kyrgyz troops upon initial verbal contact on location.",0,,1753954518,2022-06-01
